Department,publishercode,author,title,Count
H & AS,Khanna Publication,Dr. Grewal B.S.,HIGHER ENGINEERING MATHEMATICS,15
H & AS,JOHN WILEY,ERWIN KREYSZIG,ADVANCED ENGINEERING MATHEMATICS,9
H & AS,S. CHAND,DASS. H. K.,ADVANCED ENGINEERING MATHEMATICS,7
H & AS,PUNE VIDYARTHI GRIHA,WARTIKAR P.N.,A TEXTBOOK OF APPLIED MATHEMATICS VOL- I,19
H & AS,PUNE VIDYARTHI GRIHA,WARTIKAR J.N.,A TEXTBOOK OF APPLIED MATHEMATICS- VOL- II,20
H & AS,PUNE VIDYARTHI GRIHA,WARTIKAR P.N.,A TEXTBOOK OF APPLIED MATHEMATICS - VOL- III,6
H & AS,NEW AGE,JAIN M.K.,NUMERICAL METHODS FOR SCIENTIFIC & ENGINEERING COMPUTATION,5
H & AS,TMGH,BALAGURUSAMY E.,NUMERICAL METHODS,7
H & AS,MACMILLAN,RAJU N. KRISHNA,NUMERICAL METHODS FOR ENGINEERING PROBLEMS,3
H & AS,PRENTICE HALL INDIA,SASTRY S.S.,INTRODUCTORY METHODS OF NUMERICAL ANALYSIS,9
H & AS,B.S.PUBLICATION,SUBRAMANYAM P.S.,NUMERICAL METHOD WITH ' C ' PROGRAMMING,3
H & AS,TMGH,CHAPRA STEVEN C.,NUMERICAL METHODS FOR ENGINEERS,4
H & AS,TMGH,CHAPRA STEVEN C.,NUMERICAL METHODS FOR ENGINEERS WITH SOFTWARE & PROGRAMMING APPLICATIONS,6
H & AS,C. JAMNADAS,KUMBHOJKAR G.V.,APPLIED MATHEMATICS- SEM- I,28
H & AS,TMGH,RAMANA B.V.,APPLIED MATHEMATICS- SEM- I,3
H & AS,C. JAMNADAS,KUMBHOJKAR G.V.,APPLIED MATHEMATICS- SEM- II,25
H & AS,PHI,SASTRI S.S.,ENGINEERING MATHEMATICS - VOL- I,7
H & AS,PHI,SASTRY S.S.,ENGINEERING MATHEMATICS - VOL- II,10
H & AS,CAMBRIDGE UNI. PRESS,KING A. C.,"DIFFERENTIAL EQUATIONS: LINEAR, NONLINEAR, ORDINARY, PARTIAL",2
H & AS,KRISHNA PRAKASHAN,VASISHTHA A.R.,MATRICES,8
H & AS,S. CHAND,NARAYAN SHANTI,A TEXTBOOK OF MATRICES,2
H & AS,S. CHAND,NARAYAN SHANTI,THEORY OF FUNCTION OF A COMPLEX VARIABLE,2
H & AS,S. CHAND,VASUDEVA A.S.,A TEXTBOOK OF ENGINEERING PHYSICS,5
H & AS,S. CHAND,AVADHANULU M.N.,A TEXTBOOK OF ENGINEERING PHYSICS,8
H & AS,S. CHAND,AVADHANULU M.N.,EXPERIMENTS IN ENGINEERING PHYSICS,5
H & AS,S. CHAND,VASUDEVA A.S.,A MANUAL OF PRACTICAL ENGINEERING PHYSICS & MATERIAL SCIENCE,4
H & AS,S. CHAND,VASUDEVA A.S.,MODERN ENGINEERING PHYSICS,5
H & AS,NAROSA PUBLICATION,MUKHERJI UMA,ENGINEERING PHYSICS,37
H & AS,TMGH,BEISER ARTHUR,CONCEPT OF MODERN PHYSICS,22
H & AS,PEARSON EDUCATION,NAIK P. K.,ENGINEERING PHYSICS,9
H & AS,NEW AGE PUB.,PRATAP K.J.,ENGINEERING PHYSICS,5
H & AS,NAROSA PUBLICATION,WAHAB M. A.,SOLID STATE PHYSICS STRUCTURE & PROPERTIES OF MATERIALS,5
H & AS,PEARSON EDUCATION,OMAR M. ALI,ELEMENTRY SOLID STATE PHYSICS ,2
H & AS,MACMILLAN PUB.,SAXENA AJAY KUMAR,SOLID STATE PHYSICS AN INTRODUCTION TO SOLID STATE ELECTRONIC DEVICES,3
H & AS,TMGH,KACHHAVA C. M.,SOLID STSTE PHYSICS,5
H & AS,LAXMI PUBLICATION,Dr. PAHUJA OM PRAKASH,SOLID STATE PHYSICS,5
H & AS,NEW AGE,PILLAI S. O.,SOLID STATE PHYSICS,5
H & AS,WILLEY INDIA,KITTEL CHARLES,INTRODUCTION TO SOLID STATE PHYSICS,9
H & AS,NEW AGE,BANDYOPADHYAY A. K.,NANO MATERIALS,5
H & AS,MACMILLAN,BEDEKAR V.V.,LATEST TREND IN NANOTECHNOLOGY,3
H & AS,PEARSON EDUCATION,FOSTER LYNN E.,"NANOTECHNOLOGY : SCIENCE, INNOVATION & OPPORTUNITY",5
H & AS,WILLEY INDIA,POOLE CHARLES P. Jr.,INTRODUCTION TO NANOTECHNOLOGY,8
H & AS,PEARSON EDUCATION,RATNER MARK,NANOTECHNOLOGY : A GENETIC INTRODUCTION TO THE NEXT BIG IDEA,9
H & AS,CAPITAL PUBLICATION,KULKARNI SULBHA K.,NANOTECHNOLOGY : PRINCIPLES & PRACTICE,5
H & AS,TMGH,PRADEEP T.,NANO THE ESSENTIALS UNDERSTANDING NANO SCIENCE & NANOTECHNOLOGY,5
H & AS,S. CHAND,AVADHANULU M.N.,AN INTRODUCTION TO LASERS THEORY & APPLICATION,5
H & AS,MGH,JENKINS FRANCIS A.,FUNDAMENTALS OF OPTICS,2
H & AS,TMGH,GHATAK AJOY,OPTICS,9
H & AS,NEW AGE,PARASNIS A. S.,TOPICS IN MODERN OPTICS,2
H & AS,DHANPAT RAI PUB.,GAUR R. K.,ENGINEERING PHYSICS,12
H & AS,DHANPAT RAI PUB.,JAIN P. C.,ENGINEERING CHEMISTRY,19
H & AS,S. CHAND,Dr. DARA S. S.,A TEXTBOOK OF ENGINEERING CHEMISTRY,13
H & AS,KHANNA PUBLICATION,UPPAL M. M.,ENGINEERING CHEMISTRY : CHEMICAL TECHNOLOGY,2
H & AS,FIREWALL PUBLICATION,PAHARI A.,ENGINEERING CHEMISTRY ,5
H & AS,FIREWALL PUBLICATION,SENAPATI M.,ADVANCED ENGINEERING CHEMISTRY ,2
H & AS,TMGH,SIVASANKAR B.,ENGINEERING CHEMISTRY,4
H & AS,GOEL PUBLICATION,SHARMA B. K.,INDUSTRIAL CHEMISTRY : INCLUDING CHEMICAL ENGINEERING,7
H & AS,I.K.INTERNATIONAL PUB.,BALASARAF V.M.,APPLIED CHEMISTRY - I,1
H & AS,I.K. INTERNATIONAL PUB.,BALASARAF V.M.,APPLIED CHEMISTRY - II,2
H & AS,S CHAND ,Dr.DARA S.S.,S CHANDS APPLIED CHEMISTRY VOL - I,15
H & AS,S CHAND,Dr. DARA S.S.,S CHANDS APPLIED CHEMISTRY VOL - II,14
H & AS,HIMALAYA PUB.,Dr. SHARMA SHANTA S.,A TEXT BOOK OF APPLIED CHEMISTRY VOL - I,9
H & AS,GOEL PUB. HOUSE,SHARMA B.K.,ENVIRONMENTAL CHEMISTRY,10
H & AS,GOEL PUB.HOUSE,SHARMA B. K.,ENVIRONMENTAL CHEMISTRY : COMPREHENSIVELY COVERING THE UGC SYLLABUS,1
H & AS,NEW AGE,DE A.K.,ENVIRONMENTAL CHEMISTRY,2
H & AS,NEW AGE,RAO C. S.,ENVIRONMENTAL POLLUTION CONTROL ENGINEERING,22
H & AS,PHI,MASTERS GILBERT M.,INTRODUCTION TO ENVIRONMENTAL ENGINEERING AND SCIENCE,4
H & AS,S. CHAND ,DARA S. S.,A TEXT BOOK OF ENVIRONMENTAL CHEMISTRY AND POLLUTION CONTROL,4
H & AS,MACMILLAN,MUKHERJEE SAUMITRA,TEXTBOOK OF ENVIRONMENTAL REMOTE SENSING,3
H & AS,S. CHAND,Dr.DARA S.S.,S. CHAND APPLIED CHEMISTRY VOL- II,1
H & AS,UNIVERSITIES PRESS ,DEBI ALOKA,ENVIRONMENTAL SCIENCE AND ENGINEERING ,10
H & AS,MGH,DAVIS MACKENZIE L.,INTRODUCTION ENVIRONMENTAL ENGINEERING,2
H & AS,MACMILLAN,MISHRA P. C.,ENVIRONMENTAL AND SOCIETY,5
H & AS,MACMILLAN,AGRAWAL K. M.,A TEXT BOOK OF ENVIRONMENT,2
H & AS,NEW AGE,MUKHERJEE D. ,FUNDAMENTALS OF RENEWABLE ENERGY SYSTEMS ,1
H & AS,ISTE,KULKARNI R. S.,A MONOGRAM ON ENERGY ENGINEERING,1
H & AS,PHI,SOLANKI CHETAN SINGH,RENEWABLE ENERGY TECHNOLOGIES A PRACTICAL GUIDE FOR BEGINNERS,13
H & AS,UNIVERSITY SCIENCE PRESS,Dr. SHARMA J.P.,ENVIRONMENTAL STUDIES,2
H & AS,WILEY,Dr. DANIELS R. J. RANJIT,ENVIRONMENTAL STUDIES,14
H & AS,PEARSON,BASAK ANINDITA,ENVIRONMENTAL STUDIES,15
H & AS,LAXMI PUBLICATION,Dr. SHARMA J. P.,COMPREHENSIVE ENVIRONMENTAL STUDIES,16
H & AS,TMGH,JOSEPH BENNY,ENVIRONMENTAL STUDIES,15
H & AS,UNIVERSITIES PRESS,BHARUCHA ERACH,TEXT BOOK OF ENVIRONMENTAL STUDIES FOR UNDERGRADUATE COURSES,15
H & AS,OXFORD PUB.,RAJAGOPALAN R.,ENVIRONMENTAL STUDIES FROM CRISIS TO CURE,7
H & AS,PEARSON EDUCATION,MANJUNATH D.L.,ENVIRONMENTAL STUDIES,14
H & AS,CENGAGE LEARNING,DAVE DEEKSHA,TEXTBOOK OF ENVIRONMENTAL STUDIES,15
H & AS,NEW AGE,BANDYOPADHYAY A.K.,NANO MATERIALS,1
H & AS,DHANOATRAI PUB.,JAIN P. C.,ENGINEERING CHEMISTRY,2
H & AS,PHI,SASTRY S. S.,ENGINEERING MATHEMATICS VOL.II,2
H & AS,P.V.G. PRAKASHAN,WARTIKAR P.N.,A TEXTBOOK OF APPLIED MATHEMATICS VOL.I,6
H & AS,P.V.G. PRAKASHAN,WARTIKAR P. N.,A TEXTBOOK OF APPLIED MATHEMATICS VOL.II,5
H & AS,P.V.G. PRAKASHAN,WARTIKAR P.N. ,A TEXTBOOK OF APPLIED MATHEMATICS VOL.III,2
H & AS,S CHAND,NARAYAN SHANTI,A TEXTBOOK OF MATRICES,2
H & AS,NAROSA,SHARMA J. N.,NUMERICAL METHODS FOR ENGINEERING AND SCIENTISTS,3
H & AS,S. CHAND,NARAYAN SHANTI,DIFFERENTIAL CALCULUS,1
H & AS,S. CHAND ,NARAYAN SHANTI,INTEGRAL CALCULUS,2
H & AS,S. CHAND,VASUDEVA A. S.,A MANUAL OF PRACTICAL ENGINEERING PHYSICS AND MATERIAL SCIENCE,1
H & AS,TMGH,RAJENDRA V.,PHYSICS - I,10
H & AS,TMGH,RIZVI M. ASHRAF,EFFECTIVE TECHNICAL COMMUNICATION,12
H & AS,MGH,MURPHY HERTA A.,EFFECTIVE BUSINESS COMMUNICATION,11
H & AS,MGH,SHARMA R. C.,BUSINESS CORRESPONDENCE AND REPORT WRITING,3
H & AS,MGH,SHARMA R.C.,BUSINESS CORRESPONDENCE AND REPORT WRITINGA PRACTCAL APPROACH TO BUSINESS AND TECHNICAL COMMUNICATION,18
H & AS,PEARSON,CHATURVEDI P. D.,BUSINESS COMUNICATION CONCEPTS CASES AND APPLICATIONS,2
H & AS,OXFORD,RAMAN MEENAKSHI ,BUSINESS COMMUNICATION,11
H & AS,S. CHAND,KAPOOR A.N.,BUSINESS CORESPONDENCE AND COMMUNICATION SKILLS,5
H & AS,SHETH PUB.,DOCTOR RHODA A.,PRINCIPLES AND PRACTICE OC BUSINESS COMMUNICATION,10
H & AS,OXFORD,RAMAN MEENAKSHI,TECHNICAL COMMUNICATION PRINCIPLES AND PRACTICE,7
H & AS,PEARSON,GERSON SHARON J.,TECHNICAL WRITING PROCESS AND PRODUCT,6
H & AS,MGH,HUCKIN THOMAS N.,TECHNICAL WRITING AND PROFFESSIONAL COMMUNICATION FOR NONMATIVE SPEKARS OF ENGLISH,13
H & AS,MGH,LESIKAR RAYMOND V.,REPORT WRITING FOR BUSINESS,9
H & AS,JAICO PUB.,WRIGHT CHRISSIE,HANDBOOK OF PRACTICAL COMMUNICATION SKILL ,11
H & AS,MACMILLAN,MOHAN KRISHNA,DEVELOPING COMMUNICATION SKILLS,16
H & AS,PRENTICE HALL,KAUL ASHA,BUSINESS COMMUNICATION,1
H & AS,PHI,SEN LEENA,COMMUNICATION SKILLS,2
H & AS,NANDU,NAIK AVILA S.,COMMUNICATION SKILLS,1
H & AS,S.CHAND,BHATIA PRAVIN S.R.,PROFFESSIONAL COMMUNICATION SKILLS,6
H & AS,NANDU PUB.,NAIK AVILA S.,COMMUNICATION SKILLS,1
H & AS,HIMALAYA PUB.,RAI URMILA ,BUSINESS COMMUNICATION ,16
H & AS,PHI,McGRATH E.H.; S.J.,BASIC MANAGERIAL SKILLS FOR ALL,14
H & AS,BIZTANTRA PUB.,OBER SCOT,CONTEMPORARY BUSINESS COMMUNICATION,8
H & AS,PEARSON EDU.,TAYLOR SHIRLEY,COMMUNICATION FOR BUSINESS : A PRACTICAL APPROACH,1
H & AS,TMGH,KONERU ARUNA,PROFESSIONAL COMMUNICATION ,5
H & AS,PEARSON EDU.,BOVEE COURTLAND L.,BUSINESS COMMUNICATION TODAY,2
H & AS,MACMILLAN,GREEN DAVID,CONTEMPORARY ENGLISH GRAMMAR STRUCTURES AND COMPOSITION,5
H & AS,S. CHAND ,PINK M. A.,ENGLISH GRAMMAR COMPOSITION AND EFFECTIVE BUSINESS COMMUNICATION,5
H & AS,SULTAN CHAND ,PAL RAJENDRA ,ENGLISH GRAMMAR AND COMPOSITION,2
H & AS,S. CHAND ,AGGARWAL R. S.,"OBJECTIVE GENERAL ENGLISH 10,000 PLUS QUESTIONS",2
H & AS,TMGH,PRASAD HARI MOHAN,OBJECTIVE ENGLISH FOR COMPETITIVE EXAMINATIONS,4
H & AS,SCITECH PUB.,LAKSHMINARAYANAN K. R.,ENGLISH FOR TECHNICAL COMMUNICATION VOL- I & II,3
H & AS,PHI,DIXSON ROBERT J.,EVERYDAY DIALOGUES IN ENGLISH,3
H & AS,MACMILLAN,PATEL Z. N.,ENGLISH FOR PRACTICAL PURPOSE,5
H & AS,MACMILLAN,SANYAL MUKTI,ENGLISH AT THE WORKPLACE,5
H & AS,KOGAN PAGE,TIERNEY ELIZABETH,101 WAYS TO BETTER COMMUNICATION,7
H & AS,MACMILLAN,KRISHNASWAMY N. ,METHODS FOR TEACHING ENGLISH,3
H & AS,PEARSON,KUMAR SHIV K. ,LEARN CORRECT ENGLISH GRAMMAR VSAGE AND COMPOSITION ,2
H & AS,FOUNDATION,REGIONAL INSTITUTE ENGLISH SOUTH INDIA BANGLORE ,ENGLISH FOR ENGINEERS ,5
H & AS,CAMBRIDGE,JONES LEO,NEW INTERNATIONAL BUSINESS ENGLISH,2
H & AS,CAMBRIDGE,COMFORT JEREMY ,SPEAKING EFFECTIVILY DEVOLOPING SPEAKING FOR BUSINESS ENGLISH,6
H & AS,TMGH,GOODALE MALCOLM,PROFESSIONAL COMMUNICATION ,3
H & AS,TMGH,PRASAD HARIMOHAN,HOW TO PREPARE FOR GROUP DISCUSSION AND INTERVIEW,8
H & AS,SOUTH WESTERN,WALLACE HAROLD R.,PERSONALITY DEVELOPMENT,5
H & AS,S. CHAND,Dr. VERMA SHALINI,BODY LANGUAGE YOUR SUCCESS MANTRA ,1
H & AS,SUDHA PUB.,PEASE ALLAN ,BODY LANGUAGE HOW TO READ OTHERS THOUGHTS BY THEIR GESTURES,6
H & AS,PHI,JOYCE BRUCE ,MODELS OF TEACHING ,1
H & AS,WHELLER PUB.,BHATIA R. L.,DEVELOPING PRESENTATION SKILLS A  HANDY GUIDE FOR EXECUTIVE,1
H & AS,PHI,LUDLOW RON ,THE ESSENCE OF EFFECTIVE COMMUNICATION,1
H & AS,JAICO BOOKS,FEIN RICHARD,COVER LETTERS ! COVER LETTERS! COVER LETTERS!,1
H & AS,SCITECH PUB.,LAKSHMINARAYANAN K. R.,ENGLISH FOR TECHNICALCOMMUNICATION,1
H & AS,PHI,BEST JOHN W.,RESEARCH IN EDUCATION ,1
H & AS,PEARSON,ROBBINS STEPHEN P.,TRAINING IN INTERPERSONAL SKILLS TIPS FOR MANAGING PEOPLE AT WORK,1
H & AS,PEARSON ,RUTHERFOORD ANDREA J.,BASIC COMMUNICATION SKILLS FOR TECHNOLOGY,1
H & AS,JAICO BOOKS,DUGGER JIM,BUSINESS LETTERS FOR BUSY PEOPLE ,1
H & AS,PEARSON,QUIRK RANDOLPH ,A UNIVERSITY GRAMMAR OF ENGLISH,6
H & AS,LONGMAN,QUIRK RANDOLPH,A UNIVERSITY GRAMMAR OF ENGLISH,7
H & AS,KOGAN PAGE,HALE RICHARD,TARGET SETTING AND GOEL ACHIEVEMENT,3
H & AS,MACMILLAN,MCMAHON ED,BRICKS TO CLICKS ,3
H & AS,MACMILLAN,BENDER PETER URS ,SECRETS OF POWER MARKETING ,3
H & AS,MACMILLAN,BENDER PETER URS,SECRETS OF FACE TO FACE COMMUNICATION ,3
H & AS,MACMILLAN,BENDER PETER URS,SECRETS OF POWER PRESENTATION,2
H & AS,MACMILLAN,MARQUARDT MICHAEL J.,THE MANAGER AS MENTER,3
H & AS,MACMILLAN,KROTH MICHAEL,THE MANAGER AS MOTIVATOR,3
H & AS,LAKHANI BOOK,NAMAVATI ROSHAN H.,PROFESSIONAL PRACTICE,1
H & AS,VIVA BOOKS,PARKAR GLENN M.,TEAM BUILDING A SOURCE BOOK OF ACTIVITIES,2
H & AS,VIVA BOOKS ,CHRISTOPHER ELIZABETH M.,LEADERSHIP TRAINING A SOURCEBOOK OF ACTIVITIES,3
H & AS,MACMILLAN ,KAPOOR VIRENDRA,HEART MIND OVER MATTER YOUR MANTRA FOR SUCCESS,3
H & AS,KOGAN PAGE,LOWE PHIL,CREATIVITY AND PROBLEM SOLVING ,5
H & AS,KOGAN PAGE,HARDINGHAN ALISON,WORKING IN TEAMS ,3
H & AS,RUPA CO.,CHAKRAVARTY AJANTA,TIME MANAGEMENT,3
H & AS,MACMILLAN,STAUFFER DENNIS,THINKING CLOCKWISE A FIELD GUIDE FOR THE INNOVATIVE LEADER,3
H & AS,HIMALAYA PUB.,FERNANDEZ THOMAS ,HUMMAN SKILLS CRESTING THE FUTURE ,1
H & AS,MACMILLAN ,QUBEIN NIDO,HOW TO GET ANYTHING YOU WANT,3
H & AS,1995,Dr. BHATIA R. L.,MANAGING TIME FOR A COMPETITIVE EDGE,6
H & AS,MACMILLAN ,PARKINSON CNORTHCOTE,HOW TO GET TO THE TOP,5
H & AS,UNIVERSITIES PRESS,ADAIR JOHN,DECISION MAKING AND PROBLEM SOLVING,5
H & AS,KOGAN PAGE,BISHOP SUE,DEVELOP YOUR ASSERTIVENESS,10
H & AS,KOGAN PAGE,HAYNES MARION E.,MAKE EVERY MINUTE COUNT,5
H & AS,VIVA BOOKS,COOK MARSHAL J.,ADAMS TIME MANAGEMENT,4
MECH. ENGINEERING,TMGH,BEER FERDINAND P.,VECTOR MECHANICS FOR ENGINEERING DYNAMICS,6
MECH. ENGINEERING,MGH,BEER FERDINAND ,VECTOR MECHANICS FOR ENGINEERING STATICS,1
MECH. ENGINEERING,TMGH,BEER FERDINAND P.,VECTOR MECHANICS FOR  ENGINEERING DYNAMICS,5
MECH. ENGINEERING,TMGH,BEER FERDINAND,VECTOR MECHANICS FOR ENGINEERS - DYNAMICS,5
MECH. ENGINEERING,TMGH,BEER FERDINAND P.,VECTOR MECHANICS FOR ENGINEERS : STATICS & DYNAMICS,7
MECH. ENGINEERING,TMGH,NELSON E. W. ,ENGINEERING MECHANICS : STATICS ( SOLVED PROBLEMS ) ,6
MECH. ENGINEERING,TMGH,NELSON E.W.,ENGINEERING MECHANICS : DYNAMICS ( SOLVED PROBLEMS ),4
MECH. ENGINEERING,TMGH,NELSON E. W.,ENGINEERING MECHANICS STATICS & DYNAMICS,4
MECH. ENGINEERING,MGH,MCLEAN W. G. ,THEORY & PROBLEMS OF ENGINEERING MECHANICS ( STATICS & DYNAMICS) ,7
MECH. ENGINEERING,JOHN WILEY,MERIAM J. L.,ENGINEERING MECHANICS : STATICS ( SI VERISON ),6
MECH. ENGINEERING,JOHN WILEY,MERIAM J. L.,ENGINEERING MECHANICS : DYNAMICS ( SI VERSION) ,7
MECH. ENGINEERING,S. CHAND ,KHURMI R. S.,A TEXTBOOK OF ENGINEERING MECHANICS,7
MECH. ENGINEERING,TMGH,KUMAR K.L.,ENGINEERING MECHANICS,3
MECH. ENGINEERING,HARPER COLLINS,SINGER FERDINAND L.,ENGINEERING MECHANICS : STATICS & DYNAMICS,5
MECH. ENGINEERING,M.D. DAYAL,DAYAL M.D.,ENGINEERING MECHANICS : STATICS & DYNAMICS,4
MECH. ENGINEERING,M.D. DAYAL,DAYAL M. D.,ENGINEERING MECHANICS : STATICS & DYNAMICS,8
MECH. ENGINEERING,SCITECH PUB.,PRABHU T. J.,ENGINEERING MECHANICS,4
MECH. ENGINEERING,DHANPAT RAI ,RAMAMURTHAM S.,ENGINEERING MECHANICS : A TEXTBOOK OF APPLIED MECHANICS,5
MECH. ENGINEERING,MGH,TIMOSHENKO S. ,ENGINEERING MECHANICS,4
MECH. ENGINEERING,UMESH PUB.,TAYAL A.K.,ENGINEERING MECHANICS : SATATICS & DYANAMICS,16
CIVIL ENGINEERING,TMGH,TIMOSHENKO S.,ENGINEERING MECHANICS,11
CIVIL ENGINEERING,S. CHSND,KHURMI R. S.,A TEXTBOOK OF ENGINEERING MECHANICS,3
CIVIL ENGINEERING,WILEY INDIA,MERIAM J. L. ,ENGINEERING MECHANICS : STATICS VOL- I,3
CIVIL ENGINEERING,WILEY INDIA ,MERIAM J. L.,ENGINEERING MECHANICS : DYANAMICS VOL- II,3
CIVIL ENGINEERING,TMGH,NELSON E. W. ,ENGINEERING MECHANICS : STATICS & DYNAMICS,4
CIVIL ENGINEERING,MGH,MCLEAN W. G.,TEORY & PROBLEMS OF ENGINEERING MECHANICS (STATICS & DYNAMICS) ,8
CIVIL ENGINEERING,TMGH,NELSON A.,ENGINEERING MECHANICS : STATICS & DYNAMICS,4
CIVIL ENGINEERING,MGH,BEER FERDINAND ,MECHANICS FOR ENGINEERS : STATICS,7
CIVIL ENGINEERING,MGH ,BEER FERDINAND P.,MECHANICS FOR ENGINEERS : DYNAMICS ,13
CIVIL ENGINEERING,TMGH,BEER FERDINAND P.,VECTOR MECHANICS FOR ENGINEERS (STATICA & DYNAMICS) ,8
CIVIL ENGINEERING,M.D. DAYAL,DAYAL M.D.,ENGINEERING MECHANICS : STATICS & DYNAMICS,10
CIVIL ENGINEERING,ENGINEERS PUB.,KHANNA P. N.,INDIAN PRACTICAL CIVIL ENGINEERS HANDBOOK,2
MECH. ENGINEERING,INDUSTRIAL PRESS.,GREEN ROBERT E.,MACHINARYS HANDBOOK,1
CIVIL ENGINEERING,PEARSON EDU.,HIBBELE R. C.,ENGINEERING MECHANICS :STATICS (SI ED.),6
CIVIL ENGINEERING,PEARSON EDU.,HIBBELE R. C.,ENGINEERING MECHANICS : DYNAMICS (SI ED.),4
CIVIL ENGINEERING,HARPER COLLINS,SINGER FERDINAND L.,ENGINEERING MECHANICS : STATICS & DYNAMICS,5
CIVIL ENGINEERING,DHANPAT RAI ,RAMAMURTHAM S.,ENGINEERING MECHANICS : A TEXTBOOK OF APPLIED MECHANICS,6
CIVIL ENGINEERING,UMESH PUB.,TAYAL A. K.,ENGINEERING MECHANICS : STATICS & DYNAMICS,18
CIVIL ENGINEERING,TMGH,BAWA H. S.,WORKSHOP PRACTICE,10
CIVIL ENGINEERING,VIVA BOOKS ,CHAPMAN W.A.J.,WORKSHOP TECHNOLOGY PART - I ,6
CIVIL ENGINEERING,VIVA BOOKS,CHAPMAN W. A. J.,WORKSHOP TECHNOLOGY PART - II,7
CIVIL ENGINEERING,VIVA BOOKS ,CHAPMAN W. A. J.,WORKSHOP TECHNOLOGY PART - III,7
CIVIL ENGINEERING,MEDIA PRONOTORS,CHODHARY S.K.H.,ELEMENTS OF WORKSHOP TECHNOLOGY VOL - I (MANUFACTURING PROCESSES )  ,17
CIVIL ENGINEERING,MEDIA PROMOTOR ,CHOUDHARY S.K.H.,ELEMENTS OF WORKSHOP TECHNOLOGY VOL -II (MACHINE TOOLS)  ,18
CIVIL ENGINEERING,DHANPAT RAI,RAGHUVANSHI B. S.,A COURSE IN WORKSHOP TECHNOLOGY VOL -II (MACHINE TOOLS)  ,10
MECH. ENGINEERING,DHANPAT RAI,RAGHUVANSHI B. S.,A COURSE IN WORKSHOP TECHNOLOGY VOL -II (MACHINE TOOLS)  ,8
MECH. ENGINEERING,MEDIA PROMOTORS ,CHOUDHARY S.K.H.,ELEMENTS OF WORKSHOP TECHNOLOGY VOL - I (MANUFACTURING PEOCESSES)  ,15
MECH. ENGINEERING,MEDIA PROMOTORS ,CHOUDHARY S.K.H.,ELEMENTS OF WORKSHOP TECHNOLOGY VOL - II (MACHINE TOOLS)  ,16
MECH. ENGINEERING,SCITECH PUB.,NARAYANA K.L.,TEXYBOOK OF ENGINEERING DRAWING (ENGINEERING GRAPHICS)  ,2
MECH. ENGINEERING,S. CHAND ,DHAVAN R.K.,A TEXTBOOK OF ENGINEERING DRAWING (GEOMETRICAL DRAWING)  ,5
MECH. ENGINEERING,PEARSON EDU.,SHAH M. B.,ENGINEERING DRAWING,5
MECH. ENGINEERING,NANDU PUB.,DUBY N. H.,ENGINEERING DRAWING,17
CIVIL ENGINEERING,TMGH,AGRAWAL BASANT ,ENGINEERING DRAWING,5
CIVIL ENGINEERING,SATYA PRAKASHAN,GUPTA R. B.,A TEXTBOOK OF ENGINEERING DRAWING,1
CIVIL ENGINEERING,CHAROTAR PUB.,BHATT N. D.,ENGINEERING DRAWING : PLANE SOLID GEOMETRY ,16
CIVIL ENGINEERING,PEARSON EDU.,JUNNARKAR N. D.,MACHINE DRAWING,6
CIVIL ENGINEERING,S. CHAND,DHAWAN R. K.,A TEXTBOOK OF MACHINE DRAWING,8
CIVIL ENGINEERING,SATYA PRAKASHAN ,GUPTA R. B.,MACHINE DRAWING,5
CIVIL ENGINEERING,CHAROTAR PUB.,BHATT N. D.,MACHINE DRAWING ,42
MECH. ENGINEERING,S. K. KATARIA,GILL P. S.,MACHINE DRAWING ,11
MECH. ENGINEERING,NANDU PUB. ,DUBEY N. H.,MACHINE DRAWING (SOLID GEOMETRY),16
MECH. ENGINEERING,EVEREST PUB.,NENE V.G. ,A TEXT BOOK OF ENGINEERING GRAPHICS ,3
MECH. ENGINEERING,NAROSA PUB.,CHANDRA A. M.,ENGINEERING GRAPHICS,5
MECH. ENGINEERING,WILEY INDIA ,OMURA GEORGE,MASTERING AUTOCAD (AD2007 AND AUTO CAD LT2007),5
MECH. ENGINEERING,NEW AGE ,VENUGOPAL K.,ENGINEERING DRAWING AND GRAPHICS + AUTOCAD  ,8
MECH. ENGINEERING,WILEY INDIA ,OMURA GEORGE,MASTERING AUTO ( AD. 2009AND AUTO CAD LT. 2009) ,1
MECH. ENGINEERING,O` REILLEY (SPD) ,KENT DOROTHY,AUTO CAD 2000IN A NUTSHELL : A COMMAND REFERENCE GUIDE ,3
MECH. ENGINEERING,PHI,HOUSE RON ,USING AUTO CAD 2000,1
MECH. ENGINEERING,THOSON LEARNING ,JEFFERIS ALAM,AUTO CAD 2000FOR ARCHITECTURE ,1
MECH. ENGINEERING,THOMSON LEARNING ,TICKOO SHAM,AUTO CAD LT 2000 : A PROBLEM SOLVING APPROACH,1
MECH. ENGINEERING,PEARSON EDU.,BETHARE JAMES D.,ENGINEERING GRAFHICS WITH AUTO CAD - 2002,6
H & AS,GOEL PUB. HOUSE ,SHARMA B.K.,INDUSTRAL CHEMISTRY : ENCLUDING CHEMISTRY ENGINEERIG  ,1
H & AS,GOEL PUB' HOUSE ,SHARMA B.K.,ENVIRONMENTAL CHEMISTRY,1
